"Rund",25,"2018-05-10T23:13:13.907Z","shape","User 0"
"Rechteck",3,"2018-05-10T23:13:13.907Z","shape","User 0"
"Crystal",6,"2018-05-11T22:16:49.534Z","color","User 0"
"Grey",7,"2018-05-11T22:16:49.534Z","color","User 0"
"White",2,"2018-05-11T22:16:49.534Z","color","User 0"
"Black",6,"2018-05-11T22:16:49.534Z","color","User 0"
"Red",3,"2018-05-11T22:16:49.534Z","color","User 0"
"Green",2,"2018-05-11T22:16:49.534Z","color","User 0"
"Beige",2,"2018-05-11T22:16:49.534Z","color","User 0"
"Brown",2,"2018-05-11T22:16:49.534Z","color","User 0"
"Yellow",3,"2018-05-11T22:16:49.534Z","color","User 0"
"Blue",7,"2018-05-11T22:16:49.534Z","color","User 0"
"Pink",5,"2018-05-11T22:16:49.534Z","color","User 0"
"Purple",1,"2018-05-11T22:16:49.534Z","color","User 0"
"Rund",19,"2018-05-11T22:16:49.534Z","shape","User 0"
"Herz",3,"2018-05-11T22:16:49.534Z","shape","User 0"
"Rechteck",1,"2018-05-11T22:16:49.534Z","shape","User 0"
"Tropfen",3,"2018-05-11T22:16:49.534Z","shape","User 0"
"Andere Form",1,"2018-05-11T22:16:49.534Z","shape","User 0"
"Oval",1,"2018-05-11T22:16:49.534Z","shape","User 0"
"Symbol",2,"2018-05-11T22:16:49.534Z","shape","User 0"
"Tier",2,"2018-05-11T22:16:49.534Z","shape","User 0"
"Blume",1,"2018-05-11T22:16:49.534Z","shape","User 0"
"Ring",1,"2018-05-11T22:16:49.534Z","shape","User 0"
"Stern",2,"2018-05-11T22:16:49.534Z","shape","User 0"
"Blue",13,"2018-05-12T22:11:53.553Z","color","User 0"
"Red",4,"2018-05-12T22:11:53.553Z","color","User 0"
"Pink",5,"2018-05-12T22:11:53.553Z","color","User 0"
"Beige",4,"2018-05-12T22:11:53.553Z","color","User 0"
"Yellow",4,"2018-05-12T22:11:53.553Z","color","User 0"
"Brown",5,"2018-05-12T22:11:53.553Z","color","User 0"
"Black",3,"2018-05-12T22:11:53.553Z","color","User 0"
"Grey",2,"2018-05-12T22:11:53.553Z","color","User 0"
"Purple",5,"2018-05-12T22:11:53.553Z","color","User 0"
"Orange",1,"2018-05-12T22:11:53.553Z","color","User 0"
"Green",1,"2018-05-12T22:11:53.553Z","color","User 0"
"Rund",24,"2018-05-12T22:11:53.553Z","shape","User 0"
"Ring",2,"2018-05-12T22:11:53.553Z","shape","User 0"
"Tier",3,"2018-05-12T22:11:53.553Z","shape","User 0"
"Herz",1,"2018-05-12T22:11:53.553Z","shape","User 0"
"Blume",4,"2018-05-12T22:11:53.553Z","shape","User 0"
"Asymmetrisch",1,"2018-05-12T22:11:53.553Z","shape","User 0"
"Grey",4,"2018-05-13T22:15:24.629Z","color","User 0"
"Blue",5,"2018-05-13T22:15:24.629Z","color","User 0"
"Black",3,"2018-05-13T22:15:24.629Z","color","User 0"
"Purple",6,"2018-05-13T22:15:24.629Z","color","User 0"
"Crystal",3,"2018-05-13T22:15:24.629Z","color","User 0"
"Red",2,"2018-05-13T22:15:24.629Z","color","User 0"
"Pink",1,"2018-05-13T22:15:24.629Z","color","User 0"
"Brown",4,"2018-05-13T22:15:24.629Z","color","User 0"
"Beige",3,"2018-05-13T22:15:24.629Z","color","User 0"
"Yellow",4,"2018-05-13T22:15:24.629Z","color","User 0"
"Green",2,"2018-05-13T22:15:24.629Z","color","User 0"
"Tier",1,"2018-05-13T22:15:24.629Z","shape","User 0"
"Rund",20,"2018-05-13T22:15:24.629Z","shape","User 0"
"Asymmetrisch",1,"2018-05-13T22:15:24.629Z","shape","User 0"
"Herz",2,"2018-05-13T22:15:24.629Z","shape","User 0"
"Tropfen",1,"2018-05-13T22:15:24.629Z","shape","User 0"
"Ring",2,"2018-05-13T22:15:24.629Z","shape","User 0"
"Blue",8,"2018-05-14T22:54:39.396Z","color","User 0"
"Pink",5,"2018-05-14T22:54:39.396Z","color","User 0"
"Brown",3,"2018-05-14T22:54:39.396Z","color","User 0"
"Black",4,"2018-05-14T22:54:39.396Z","color","User 0"
"Grey",3,"2018-05-14T22:54:39.396Z","color","User 0"
"Purple",4,"2018-05-14T22:54:39.396Z","color","User 0"
"Beige",4,"2018-05-14T22:54:39.396Z","color","User 0"
"Yellow",3,"2018-05-14T22:54:39.396Z","color","User 0"
"Green",2,"2018-05-14T22:54:39.396Z","color","User 0"
